DriversLicense;VehicleInProperty;UseNewMobility;TypeOfNewMobility;UsagePerMonth;RangeOfHours;5Min;10Min;15Min;20Min;+20Min;CostLastTrip;RightSlowerVehicles;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;No;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;Yes;Carsharing;2;00:00-2:00;;;;;Column 1;5,0;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;;
Yes;No;Yes;Carsharing;3;19:00-0:00;;;Column 1;;;10;Yes;
Yes;No;Yes;Carsharing;1;20:00 -24:00;;Column 1;;;;1,9;No;
Yes;No;No;I don't use any new mobility services;;;;;;;;;;
No;No;Yes;Other (Lime, BiciMAD, etc);2;18:00-20:00;;;;Column 1;;11;Yes;
Yes;Yes;No;I don't use any new mobility services;0;;;;;;;;No;
Yes;Yes;Yes;Carsharing;4;9:00-10:00;;;;Column 1;;4;Yes;
Yes;No;Yes;Other (Lime, BiciMAD, etc);25;00:00-23:00;;;;;Column 1;30;No;
Yes;No;No;I don't use any new mobility services;;;;;;;;;;
Yes;Yes;No;I don't use any new mobility services;Never;Never;;;;;;;No;
Yes;No;Yes;Other (Lime, BiciMAD, etc);10;13:00-14:00;;;;Column 1;;15;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;No;Yes;Carsharing;30;15:00-16:00;;;;;Column 1;18,0;Yes;
Yes;Yes;Yes;Motosharing;30;13:00-14:00;;;Column 1;;;3,75;No;
Yes;No;No;I don't use any new mobility services;;;;;;;;;;
Yes;No;Yes;Other (Lime, BiciMAD, etc);6;08:00-18:00;;;;;Column 1;0,40;Yes;
Yes;No;Yes;Carsharing;5;14:00 -24:00;;;Column 1;;;5;No;
Yes;Yes;Yes;Carsharing;1;17:00-21:00;;;;;Column 1;8,75;No;
Yes;No;Yes;Carsharing;8;21:00-3:00;;;Column 1;;;3;Yes;
Yes;No;Yes;Carsharing;4;;;;Column 1;;;8;Yes;
Yes;Yes;Yes;Carsharing;2;18:00-20:00;;;;Column 1;;6,41;No;
Yes;No;Yes;Carsharing;1;8:00-9:00;;;;Column 1;;10;Yes;
Yes;Yes;No;I don't use any new mobility services;None;;;;;;;;No;
Yes;Yes;Yes;Carsharing;1;18:00-23:00;;;Column 1;;;5,55;No;
No;No;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;No;Yes;Carsharing;5;19:00 -24:00;;;Column 1;;;2;No;
Yes;No;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;NA;NA;;;;;;NA;Yes;
Yes;Yes;No;I don't use any new mobility services;Never;No one range;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;Yes;Carsharing;2;18:00-22:00;;;Column 1;;;12;Yes;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);Once every two months ;18:00- 22:00;;;;Column 1;;12,6;Yes;
Yes;No;Yes;Carsharing;4;8:00-11:00;;;Column 1;;;3,5;Yes;
No;No;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility services;0;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;Yes;Carsharing;4;20:00 -24:00;;Column 1;;;;2,15;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;No;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;Yes;Carsharing;Less than once a month ;9:00-20:00;;;;Column 1;;4,2;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;Nunca;Nunca;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;Yes;Motosharing;4;8:00-11:00;;;;;Column 1;7;No;
Yes;Yes;No;I don't use any new mobility services;Never;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility services;Never;Never;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);4;8:00-21:00;;;;;Column 1;5,4;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;No;I don't use any new mobility services;Never;Never;;;;;;;No;
Yes;No;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;Yes;Motosharing;4;8:00-11:00;;;;;Column 1;7;No;
Yes;No;Yes;Carsharing;10;20:00-24:00;;;Column 1;;;10;No;
Yes;Yes;Yes;Carsharing;3;18:00-24:00;;;;Column 1;;5;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;Yes;Carsharing;1;11:00-14:00;;;;;Column 1;6,5;No;
Yes;No;Yes;Carsharing;1;14:00-18:00;;;;;Column 1;18;No;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);4;10:00-18:00;;;;Column 1;;3;No;
Yes;Yes;No;I don't use any new mobility services;0;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;No;Yes;Other (Lime, BiciMAD, etc);20;8:00-11:00;;;;Column 1;;1,2;Yes;
Yes;Yes;Yes;Carsharing;;;;;;;Column 1;5,6;No;
Yes;Yes;Yes;Carsharing;1;20:00-02:00;;;Column 1;;;3,5;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);3;00:00-23:00;;;;;Column 1;12;No;
Yes;No;Yes;Carsharing;3;22:00 -24:00;;;Column 1;;;3,5;Yes;
Yes;Yes;Yes;Carsharing;4;00:00-23:00;;;;Column 1;;12;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;Yes;Carsharing;Almost every day;;;Column 1;;;;2,50;No;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;Yes;Carsharing;2;18:00-23:00;;;Column 1;;;2,70;No;
Yes;No;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;Yes;Other (Lime, BiciMAD, etc);1;15:00-16:00;;;;Column 1;;8;Yes;
Yes;Yes;Yes;Carsharing;2;07:00 - 23:00;;;Column 1;;;3,5;No;
Yes;Yes;Yes;Carsharing;1;From 18:00 to 22:00;;;;Column 1;;4;Yes;
Yes;Yes;Yes;Motosharing;2;18:00-24:00;;;;Column 1;;6,7;No;
Yes;No;Yes;Carsharing;10;8:00-10:00;;;;Column 1;;8,73;No;
Yes;No;Yes;Other (Lime, BiciMAD, etc);4;19:00-23:00;;;;;Column 1;5,3;Yes;
Yes;Yes;No;I don't use any new mobility services;;;;;;;;;No;
Yes;Yes;Yes;Carsharing;8;20:00-24:00;;;Column 1;;;4,78;No;
Yes;Yes;Yes;Motosharing;1;12:00-14:00;;;;Column 1;;7,82;No;
Yes;No;No;I don't use any new mobility services;;;;;;;;;Yes;
Yes;Yes;Yes;Carsharing;2;;;;;;Column 1;8,27;No;
No;No;Yes;Other (Lime, BiciMAD, etc);5;;;;Column 1;;;3,48;Yes;
Yes;Yes;Yes;Motosharing;1;;;;;Column 1;;3,57;No;
Yes;Yes;Yes;Motosharing;12;8-10 and 19-21;;;Column 1;;;2,73;No;
Yes;No;Yes;Other (Lime, BiciMAD, etc);10;Morning;;;Column 1;;;3,25;Yes;
Yes;Yes;Yes;Carsharing;4;;;;;;Column 1;9,15;No;
Yes;No;Yes;Carsharing;15;;;;;;Column 1;10,73;No;
Yes;No;Yes;Other (Lime, BiciMAD, etc);4;;;;;Column 1;;3,55;Yes;
Yes;Yes;Yes;Motosharing;2;;;;;Column 1;;4,42;Yes;
